Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
2100811,2021,1/21/2022,Stamford,160 GLENBROOK ROAD #3B,"360,060.00","600,000.00",0.6001,Residential,Condo,,,,POINT (-73.527062998 41.059852997)
210564,2021,1/21/2022,Southington,861-01 SOUTH MAIN ST,"108,720.00","199,000.00",0.546331658,Residential,Condo,,,,POINT (-72.890775964 41.584628993)
21161,2021,1/21/2022,Watertown,0 FALLS AVE & 131 FALLS AVE,"21,500.00","105,000.00",0.204761905,Vacant Land,,18 - In Lieu Of Foreclosure,2 PARCELS,,POINT (-73.078338985 41.590947021)
210302,2021,1/21/2022,West Haven,149 BEATRICE DR,"138,010.00","279,000.00",0.4946,Residential,Condo,,,,POINT (-72.990122974 41.247057985)
210043,2021,1/21/2022,Woodbridge,20 SALEM RD,"352,310.00","555,000.00",0.6347,Residential,Single Family,,,,POINT (-73.007897974 41.327888994)
210301,2021,1/21/2022,West Haven,690 FOREST RD #771,"216,370.00","465,000.00",0.4653,Residential,Condo,,,,POINT (-72.973289011 41.310703997)
210115,2021,1/21/2022,Windham,2 ANN ST,"129,700.00","276,000.00",0.469927536,Residential,Four Family,,,,POINT (-71.930405593 41.672378329)
210123,2021,1/21/2022,Wolcott,19 OAK ST,"115,680.00","42,750.00",2.7059,Residential,Single Family,01 - Family,non MLS sale; no market time or sales or financing concession data available,,POINT (-72.949138988 41.558901999)
21082,2021,1/21/2022,Winchester,74 STRONG TERRACE,"99,890.00","215,000.00",0.4646,Residential,Single Family,,SALE INCLUDES 112/082/042Z & 112/079/012F,,POINT (-73.056232973 41.920493991)
210236,2021,1/21/2022,Windsor,26 SAWKA CIR,"172,340.00","333,000.00",0.5175,Residential,Single Family,,,,POINT (-72.667172017 41.885113014)
210100014,2021,1/21/2022,Woodbury,5 SHAGBARK LANE #32B,"98,590.00","187,900.00",0.5246,Residential,Condo,,,,POINT (-73.229647582 41.520942719)
21161,2021,1/21/2022,Waterford,79 CROSS ROAD,"163,890.00","300,000.00",0.5463,Residential,Single Family,,,,POINT (-72.164237039 41.365215998)
210524,2021,1/20/2022,Danbury,191 WESTVILLE AV,"186,000.00","425,000.00",0.4376,Residential,Single Family,,F13088,,POINT (-73.485071004 41.401189995)
210089,2021,1/20/2022,East Windsor,26 WOLFERSDORF RD,"140,160.00","307,500.00",0.4558,Residential,Single Family,,,,POINT (-72.51786199 41.910122015)
210780,2021,1/20/2022,Bridgeport,2995 MADISON AVE UNIT #23,"78,810.00","152,000.00",0.518486842,Residential,Single Family,,,,POINT (-73.227327166 41.214971638)
210792,2021,1/20/2022,Bridgeport,85 VICTORY ST,"131,490.00","265,900.00",0.4945,Residential,Single Family,,,,POINT (-73.208544978 41.216576021)
210438,2021,1/20/2022,New Britain,424 SLATER RD,"193,270.00","77,760.00",2.4854,Commercial,,25 - Other,Sale price is not reflective of market value for this type of property,,POINT (-72.810909 41.678673989)
210795,2021,1/20/2022,Bridgeport,1081 NOBLE AVE #1083,"182,356.00","317,000.00",0.5752,Residential,Two Family,,,,POINT (-73.183752644 41.196267586)
210124,2021,1/20/2022,Cromwell,5 COURT STREET,"137,410.00","226,600.00",0.6063,Residential,Single Family,,,,POINT (-72.655694006 41.619059002)
21055,2021,1/20/2022,Haddam,6 LT SHUBAEL RD,"225,320.00","418,500.00",0.538399044,Residential,Single Family,,,,POINT (-72.558160002 41.505479981)
21037,2021,1/20/2022,Durham,1127 NEW HAVEN RD,"182,490.00","329,000.00",0.5546,Residential,Single Family,,,,POINT (-72.736921018 41.42596602)
210453,2021,1/20/2022,Bristol,25 SHORT ST,"121,100.00","235,000.00",0.5153,Residential,Single Family,,,,POINT (-72.908786998 41.68712102)
210441,2021,1/20/2022,New Britain,58 JACKSON ST,"107,520.00","195,000.00",0.5513,Residential,Single Family,,,,POINT (-72.779387009 41.685471)
21078,2021,1/20/2022,Burlington,21 SAVARESE LN,"155,010.00","310,000.00",0.5,Residential,Single Family,28 - Use Assessment,DECLASSED PA490,,POINT (-72.965648991 41.766325981)
210088,2021,1/20/2022,East Windsor,31 NORTH MAIN ST,"82,840.00","125,000.00",0.6627,Residential,Single Family,,,,POINT (-72.618105026 41.932775994)
210146,2021,1/20/2022,New Canaan,160 PARK ST-#C101,"855,120.00","1,250,000.00",0.684,Residential,Condo,,,,POINT (-73.494858904 41.144036709)
210125,2021,1/20/2022,Cromwell,2 SMITH FARM ROAD,"339,430.00","600,000.00",0.5657,Residential,Single Family,,,,POINT (-72.664230975 41.604045002)
210014,2021,1/20/2022,Lyme,133 MITCHELL HILL RD,"409,920.00","690,000.00",0.594,Residential,Single Family,28 - Use Assessment,OPEN SPACE,,POINT (-72.387346035 41.41203601)
210345,2021,1/20/2022,Fairfield,26 TAYLOR PLACE,"347,340.00","650,000.00",0.5343,Residential,Single Family,,,,POINT (-73.290880999 41.139570009)
